STN,LON(east),LAT(north),ALT(m),NAME
127,"3,314","47,975","999,9", BUCHTEN ???
32,"4,526","51,576","1,2",OUDENBOSCH
206,"4,011","54,116","27,8", F16-A
331,"4,118","51,507",1, THOLEN
200,"4,355","52,041","999,9", YPENBURG
18,"3,314","47,975","999,9",PHILIPPINE ???
125,"5,054","51,784","1,4", ANDEL
16,"3,314","47,975","999,9",HEINKENSZAND ???
609,"4,318","51,891","999,9", R'DAM-GEULHAVEN
272,"5,85","52,616","3,6", RAMSPOL
161,"5,975","53,391","999,9", TERNAARD
998,"5,177","52,101",2, DE BILT (TEST)
316,"3,694","51,656",0, SCHAAR
313,"3,242","51,505",0, VLAKTE V.D. RAAN
20,"6,7","51,969","34,1",WINTERSWIJK
163,"5,476","52,263","0,2", NIJKERK (SLUIS)
551,"2,066","56,4","999,9", AUK
148,"6,191","51,356",30, VENLO
343,"4,313","51,893",4, R'DAM-GEULHAVEN
35,"3,314","47,975","999,9",HAAMSTEDE ???
208,"5,942","53,492","26,5", AWG-1
275,"5,888","52,061",50, DEELEN
325,"3,931","51,654",-4, ZIERIKZEE
29,"5,044","52,65","999,9",HOORN (NH)
350,"4,933","51,568","11,1", GILZE-RIJEN
203,"3,35","52,367","23,9", P11-B
138,"5,676","50,843","999,9", MAASTRICHT
211,"2,95","53,817","34,3", J6-A
153,"5,356","52,886","2,6", STAVOREN
321,"3,276","51,999",0, EUROPLATFORM
340,"4,349","51,448","14,9", WOENSDRECHT
311,"3,673","51,378",0, HOOFDPLAAT
247,"4,555","52,422",18, BLOEMENDAAL
204,"3,626","53,269",27, K14-FA-1C
165,"3,314","47,975","999,9", KAAP HOOFD ???
139,"5,121","52,458","-0,8", MARKEN
129,"5,78","52,712","-3,7", EMMELOORD
17,"3,892","51,529","0,7",WILHELMINADORP
320,"3,667","51,918","999,9", LICHTEILAND GOEREE
147,"5,611","52,658","999,9", URK
280,"6,586","53,125","3,5", EELDE
273,"5,889","52,703","-3,1", MARKNESSE
323,"3,884","51,527","1,4", WILHELMINADORP
268,"5,436","52,531","999,9", HOUTRIB
249,"4,979","52,644","-2,5", BERKHOUT
168,"5,906","50,764",155, EPEN
202,"4,362","52,206","9999,9", MP KATWIJK
135,"5,338","53,07",3, KORNWERDERZAND
348,"4,927","51,972","-0,7", CABAUW
319,"3,862","51,226","1,4", WESTDORPE
285,"6,4","53,574",0, HUIBERTGAT
385,"5,933","51,55","9999,9", DE PEEL
617,"6,196","51,498",19, ARCEN
212,"4,15","52,917","40,5", HOORN-A
344,"4,444","51,955","-4,8", ROTTERDAM
126,"4,079","51,596",1, ST ANNALAND
553,"3,276","51,999","999,9", EUROPLATFORM
159,"4,057","51,251","2,4", KAPELLEBRUG
251,"5,346","53,393","0,5", HOORN (TERSCHELLING)
253,"2,067","56,4","999,9", AUK-ALFA
279,"6,575","52,75","15,6", HOOGEVEEN
8,"5,528","52,453",-4.20  L,ELYSTAD
209,"4,517","52,467",0, IJMOND
37,"5,675","51,976",2,WAGENINGEN (HAARWEG)
270,"5,755","53,225","1,5", LEEUWARDEN
391,"6,196","51,498",19, ARCEN
170,"5,715","50,794",50, OOST MAARLAND
33,"5,677","51,549","13,2",GEMERT
554,"3,592","51,681","999,9", MEETPOST NOORDWIJK
552,"3,213","56,547","999,9", EKOFISK
227,"4,655","52,774","0,5", PETTEN
324,"4,006","51,596",0, STAVENISSE
244,"5,044","52,65","999,9", HOORN (NH)
162,"5,222","52,418","999,9", OOSTVAARDERSDIEP
255,"1,16","61,234","999,9", NORTH CORMORANT
240,"4,774","52,301","-4,4", SCHIPHOL
999,"6,575","52,75","15,6", HOOGEVEEN TEST
108,"3,314","47,975","999,9", HELLEVOETSLUIS ???
230,"4,759","52,967","999,9", DEN HELDER
604,"6,262","52,435","1,4", HERWIJNEN
277,"6,196","53,409",3, LAUWERSOOG
377,"5,764","51,197",30, ELL
201,"2,933","54,317","35,6", D15-FA-1
379,"5,7","50,794",42, OOST-MAARLAND
550,"3,22","53,218","999,9", K13
152,"3,558","51,356","1,2", SCHOONDIJKE
225,"4,575","52,463","4,4", IJMUIDEN
142,"3,314","47,975","999,9", OUDE WETERING ???
207,"4,96","53,614","29,8", L9-FF-1
330,"4,124","51,993","12,5", HOEK VAN HOLLAND
263,"5,177","52,101",2, DE BILT (TEST)
266,"5,338","53,07",3, KORNWERDERZAND
167,"6,85","53,381","999,9", BIERUM
995,"3,596","51,442",8, VLISSINGEN (TEST)
133,"5,342","53,398",-1, HOORN (TERSCHELLING)
290,"6,897","52,273","34,5", TWENTHE
615,"4,296","52,274",12, HOOGEVEEN
39,"4,156","51,988","999,9",H. VAN HOLLAND(MOLENPAD)
210,"4,419","52,165","-0,2", VALKENBURG
41,"5,526","52,458",-4,LELYSTAD
258,"5,401","52,649","7,3", HOUTRIBDIJK
312,"3,591","51,681",0, OOSTERSCHELDE
229,"4,72","52,996",10, TEXELHORS MM
19,"3,314","47,975","999,9",NIEUWE TONGE ???
260,"5,177","52,101",2, DE BILT
370,"5,414","51,446","20,3", EINDHOVEN
315,"3,998","51,447",0, HANSWEERT
166,"6,238","53,583",4, SCHIERMONNIKOOG
375,"5,706","51,657","21,1", VOLKEL
380,"5,768","50,91",114, MAASTRICHT
616,"4,907","52,367","999,9", AMSTERDAM (COENHAVEN)
300,"2,567","51,65","999,9", LICHTSCHIP NOORDHINDER
128,"6,443","52,593",6, DEDEMSVAART
252,"3,22","53,218","999,9", K13
28,"5,82","52,961","-0,4",JOURE
286,"7,15","53,196","0,2", NIEUW BEERTA
40,"5,837","51,856","999,9",NIJMEGEN (RADBOUD)
283,"6,65","52,073",29, HUPSEL
310,"3,596","51,442",8, VLISSINGEN
250,"5,147","53,36","31,4", TERSCHELLING
614,"6,92","53,337","999,9", EEMSHAVEN
308,"3,381","51,381",0, CADZAND
215,"4,437","52,141","-1,2", VOORSCHOTEN
254,"4,296","52,274","999,9", MEETPOST NOORDWIJK
278,"6,263","52,437",4, HEINO
271,"5,356","52,888","2,6", STAVOREN
605,"6,196","53,409",3, LAUWERSOOG
130,"3,314","47,975","999,9", EPEN ???
328,"3,821","51,668","999,9", ROGGENPLAAT
239,"4,728","54,854",0, F3-FB-1
122,"6,303","52,158",9, ALMEN
267,"5,384","52,896","2,6", STAVOREN
143,"4,393","51,855","0,2", POORTUGAAL
205,"3,817","55,417","33,1", A12-CPP
158,"3,314","47,975","999,9", SPIJK (GR.) ???
269,"5,526","52,458",-4, LELYSTAD
13,"3,314","47,975","999,9",WISSEKERKE ???
235,"4,785","52,924","0,5", DE KOOY
257,"4,603","52,506",10, WIJK AAN ZEE
36,"3,314","47,975","999,9",NUMANSDORP ???
248,"5,174","52,634",-1, WIJDENES
38,"3,314","47,975","999,9",NAALDWIJK ???
356,"5,145","51,858","0,9", HERWIJNEN
34,"6,887","52,785","24,1",EMMEN
265,"5,274","52,13","13,9", SOESTERBERG
169,"5,304","53,392","0,4", FORMERUM
164,"5,909","51,092","34,1", ECHT
603,"6,189","52,311","999,9", DIEPENVEEN
242,"4,942","53,255","0,9", VLIELAND
